Timestamp,RSLT,TIME,SAIP,TLIP,S3AI,SACC,S3AK,S3BK,S3KY,CSIZ,ATYP,AMID
1787816072000,SUCS,79370,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787816072000,SUCS,19508,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,798720,SGET,S3RQ
1787816073000,SUCS,5265,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-06-28-kafka-eseries-object-storage.md,24449,SGET,S3RQ
1787816073000,SUCS,11490,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787816077000,SUCS,17527,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-07-05-kafka-solidfire-efficiency.md,10158,SGET,S3RQ
1787816079000,SUCS,14443,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2024-02-23-storagegrid-notifications-kafka.md,8165,SGET,S3RQ
1787816080000,SUCS,10068,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2026-08-05-kafka-on-netapp-eseries.md,19202,SGET,S3RQ
1787816085000,SUCS,242324,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,12333056,SPUT,S3RQ
1787816100000,SUCS,174343,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,12333056,SPUT,S3RQ
1787816102000,SUCS,107804,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,3944448,SGET,S3RQ
1787816102000,SUCS,89986,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787816103000,SUCS,2638,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787817063000,SUCS,345450,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,13119488,SPUT,S3RQ
1787817065000,SUCS,104726,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787817065000,SUCS,117111,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4730880,SGET,S3RQ
1787817066000,SUCS,6106,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787817070000,SUCS,191486,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,13119488,SPUT,S3RQ
1787817072000,SUCS,104821,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4730880,SGET,S3RQ
1787817072000,SUCS,104409,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787817073000,SUCS,9569,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787817076000,SUCS,101825,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787817076000,SUCS,45271,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4730880,SGET,S3RQ
1787817077000,SUCS,8411,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-06-28-kafka-eseries-object-storage.md,24449,SGET,S3RQ
1787817077000,SUCS,2938,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787817080000,SUCS,16262,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-07-05-kafka-solidfire-efficiency.md,10158,SGET,S3RQ
1787817081000,SUCS,14711,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2024-02-23-storagegrid-notifications-kafka.md,8165,SGET,S3RQ
1787817082000,SUCS,14744,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2026-08-05-kafka-on-netapp-eseries.md,19202,SGET,S3RQ
1787817085000,SUCS,297181,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,15740928,SPUT,S3RQ
1787817090000,SUCS,173958,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,15740928,SPUT,S3RQ
1787817093000,SUCS,30162,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
1787817093000,SUCS,109237,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787817093000,SUCS,75245,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
